,成交时间
849,10:12:24
850,10:12:27
851,10:12:30
852,10:12:33
853,10:12:36
854,10:12:39
855,10:12:42
856,10:12:45
857,10:12:48
858,10:12:51
859,10:12:54
860,10:12:57
861,10:13:00
862,10:13:03
863,10:13:06
864,10:13:09
865,10:13:12
866,10:13:15
867,10:13:18
868,10:13:21
869,10:13:24
870,10:13:27
871,10:13:30
872,10:13:33
873,10:13:36
874,10:13:39
875,10:13:42
876,10:13:45
877,10:13:48
878,10:13:51
879,10:13:54
880,10:13:57
881,10:14:00
882,10:14:03
883,10:14:06
884,10:14:09
885,10:14:12
886,10:14:15
887,10:14:18
888,10:14:21
889,10:14:24
890,10:14:27
891,10:14:30
892,10:14:33
893,10:14:36
894,10:14:39
895,10:14:42
896,10:14:45
897,10:14:48
898,10:14:51
899,10:14:54
900,10:14:57
901,10:15:00
902,10:15:03
903,10:15:06
904,10:15:09
905,10:15:12
906,10:15:15
907,10:15:18
908,10:15:21
909,10:15:24
910,10:15:27
911,10:15:30
912,10:15:33
913,10:15:36
914,10:15:39
915,10:15:42
916,10:15:45
917,10:15:48
918,10:15:51
919,10:15:54
920,10:15:57
921,10:16:00
922,10:16:03
923,10:16:06
924,10:16:09
925,10:16:12
926,10:16:15
927,10:16:18
928,10:16:21
929,10:16:24
930,10:16:27
931,10:16:30
932,10:16:33
933,10:16:36
934,10:16:39
935,10:16:42
936,10:16:45
937,10:16:48
938,10:16:51
939,10:16:54
940,10:16:57
941,10:17:00
942,10:17:03
943,10:17:06
944,10:17:09
945,10:17:12
946,10:17:15
947,10:17:18
948,10:17:21
949,10:17:24
950,10:17:27
951,10:17:30
952,10:17:33
953,10:17:36
954,10:17:39
955,10:17:42
956,10:17:45
957,10:17:48
958,10:17:51
959,10:17:54
960,10:17:57
961,10:18:00
962,10:18:03
963,10:18:06
964,10:18:09
965,10:18:12
966,10:18:15
967,10:18:18
968,10:18:21
969,10:18:24
970,10:18:27
971,10:18:30
972,10:18:33
973,10:18:36
974,10:18:39
975,10:18:42
976,10:18:45
977,10:18:48
978,10:18:51
979,10:18:54
980,10:18:57
981,10:19:00
982,10:19:03
983,10:19:06
984,10:19:09
985,10:19:12
986,10:19:15
987,10:19:18
988,10:19:21
989,10:19:24
990,10:19:27
991,10:19:30
992,10:19:33
993,10:19:36
994,10:19:39
995,10:19:42
996,10:19:45
997,10:19:48
998,10:19:51
999,10:19:54
1000,10:19:57
1001,10:20:00
1002,10:20:03
1003,10:20:06
1004,10:20:09
1005,10:20:12
1006,10:20:15
1007,10:20:18
1008,10:20:21
1009,10:20:24
1010,10:20:27
1011,10:20:30
1012,10:20:33
1013,10:20:36
1014,10:20:39
1015,10:20:42
1016,10:20:45
1017,10:20:48
1018,10:20:51
1019,10:20:54
1020,10:20:57
1021,10:21:00
1022,10:21:03
1023,10:21:06
1024,10:21:09
1025,10:21:12
1026,10:21:15
1027,10:21:18
1028,10:21:21
1029,10:21:24
1030,10:21:27
1031,10:21:30
1032,10:21:33
1033,10:21:36
1034,10:21:39
1035,10:21:42
1036,10:21:45
1037,10:21:48
1038,10:21:51
1039,10:21:54
1040,10:21:57
1041,10:22:00
1042,10:22:03
1043,10:22:06
1044,10:22:09
1045,10:22:12
1046,10:22:15
1047,10:22:18
1048,10:22:21
1049,10:22:24
1050,10:22:27
1051,10:22:30
1052,10:22:33
1053,10:22:36
1054,10:22:39
1055,10:22:42
1056,10:22:45
1057,10:22:48
1058,10:22:51
1059,10:22:54
1060,10:22:57
1061,10:23:00
1062,10:23:03
1063,10:23:06
1064,10:23:09
1065,10:23:12
1066,10:23:15
1067,10:23:18
1068,10:23:21
1069,10:23:24
1070,10:23:27
1071,10:23:30
1072,10:23:36
1073,10:23:39
1074,10:23:42
1075,10:23:45
1076,10:23:48
1077,10:23:51
1078,10:23:54
1079,10:23:57
1080,10:24:00
1081,10:24:03
1082,10:24:06
1083,10:24:09
1084,10:24:12
1085,10:24:15
1086,10:24:18
1087,10:24:21
1088,10:24:24
1089,10:24:27
1090,10:24:30
1091,10:24:33
1092,10:24:36
1093,10:24:39
1094,10:24:42
1095,10:24:45
1096,10:24:48
1097,10:24:51
1098,10:24:54
1099,10:24:57
1100,10:25:00
1101,10:25:03
1102,10:25:06
1103,10:25:09
1104,10:25:12
1105,10:25:15
1106,10:25:18
1107,10:25:21
1108,10:25:24
1109,10:25:27
1110,10:25:30
1111,10:25:33
1112,10:25:36
1113,10:25:39
1114,10:25:42
1115,10:25:45
