最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
6586.65,0.22,14234562.0,65706004985.0,6677.09,6507.04,6525.63,000911,300可选,上证系列指数
2355.93,0.22,84761466.0,226530507719.0,2363.5,2340.95,2342.81,000050,50等权,上证系列指数
2855.18,0.22,6511167.0,4717503406.0,2893.44,2850.7,2880.05,000952,300地产,上证系列指数
2904.7,0.21,60083426.0,64654341754.0,2917.14,2891.47,2900.77,000072,工业等权,上证系列指数
6043.76,0.21,56468062.0,175938685064.4,6094.58,6028.7,6030.64,000170,50AH优选,上证系列指数
6340.76,0.21,532165824.0,885602368736.0,6397.25,6330.55,6332.9,000967,基本600,上证系列指数
12455.32,0.18,228451220.0,452924580547.0,12620.48,12443.7,12457.94,000053,180基本,上证系列指数
4278.24,0.17,89117958.0,221961152485.0,4290.42,4231.47,4275.52,000119,380R成长,上证系列指数
6240.08,0.15,157685120.0,179731223224.0,6331.98,6240.08,6252.51,000901,小康指数,上证系列指数
13184.89,0.15,46006402.0,38254594445.0,13262.0,13150.06,13179.62,000130,380波动,上证系列指数
3855.27,0.13,93472731.0,140808754539.0,3920.73,3855.18,3859.11,000063,上证周期,上证系列指数
1349.17,0.12,5042890.0,19467440016.0,1359.5,1327.75,1350.36,000693,科创机械,上证系列指数
8779.04,0.12,142327989.0,259495505023.0,8816.1,8751.34,8785.09,000128,380基本,上证系列指数
6127.31,0.11,393283594.0,586477512339.0,6195.8,6119.79,6132.43,000100,上证F500,上证系列指数
2329.36,0.11,276211307.0,377351213208.0,2346.07,2320.71,2327.98,000926,中证央企,上证系列指数
5537.19,0.1,301871867.0,442598244876.0,5599.34,5531.57,5533.62,000965,基本200,上证系列指数
2976.22,0.1,62260258.0,69410586279.4,3003.25,2964.45,2977.66,000005,商业指数,上证系列指数
7102.09,0.09,1572060617.0,403505048357.0,7103.81,7089.61,7092.91,000011,基金指数,上证系列指数
9699.02,0.07,59999372.0,49066512516.0,9770.46,9678.99,9714.82,000118,380价值,上证系列指数
8851.77,0.07,48915761.0,130092625858.0,8948.65,8709.31,8797.47,000936,800通信,上证系列指数
3574.48,0.06,144430618.0,177290709202.8,3629.9,3569.57,3574.68,000008,综合指数,上证系列指数
5447.43,0.06,260940816.0,336352147869.0,5519.57,5442.9,5455.93,000098,上证F200,上证系列指数
2196.48,0.06,60083426.0,64654341754.0,2212.19,2189.0,2197.19,000034,上证工业,上证系列指数
11818.19,0.06,11342808.0,7676006912.0,11878.85,11795.34,11822.29,000150,380红利,上证系列指数
1959.79,0.05,94284424.0,81666150785.0,1980.64,1957.43,1965.84,000160,沪新丝路,上证系列指数
14299.56,0.05,40358696.0,69809142277.0,14364.72,14184.59,14281.94,000091,沪财中小,上证系列指数
1283.24,0.04,20450881.0,80368736334.0,1285.24,1259.87,1284.1,000699,科创200,上证系列指数
6135.95,0.02,34456315.0,98890651467.0,6202.23,6079.47,6099.29,000931,800可选,上证系列指数
5033.07,0.02,16775238.0,86508702873.0,5108.44,4923.57,4985.88,000916,300通信,上证系列指数
2782.12,0.02,13324351.0,14485679828.0,2838.08,2779.76,2821.36,000948,内地地产,上证系列指数
6419.94,0.02,23650692.0,56201048468.0,6440.7,6330.51,6419.76,000133,上证150,上证系列指数
178.06,0.02,3811.0,3807962.0,178.06,178.04,178.04,000061,沪企债30,上证系列指数
300.59,0.01,2948690.0,2984329739.0,300.59,300.59,300.59,000013,企债指数,上证系列指数
2757.63,0.01,14158416.0,7197951649.0,2780.22,2738.78,2766.98,000113,380公用,上证系列指数
198.46,0.01,36400.0,36400865.0,198.46,198.45,198.45,000116,信用100,上证系列指数
252.6,0.01,2929790.0,2965285283.0,252.6,252.6,252.6,000923,公司债指,上证系列指数
4637.72,0.01,17471028.0,10563998153.8,4749.28,4630.58,4690.92,000006,地产指数,上证系列指数
249.73,0.0,166206.0,166846031.0,249.74,249.73,249.73,000101,5年信用,上证系列指数
2528.69,0.0,19163170.0,14621900856.0,2560.96,2527.73,2530.65,000917,300公用,上证系列指数
252.02,0.0,182690.0,183121488.0,252.03,252.02,252.03,000022,沪公司债,上证系列指数
3449.12,-0.01,62642858.0,143335124039.0,3474.96,3439.81,3457.09,000847,腾讯济安,上证系列指数
4739.58,-0.01,113076801.0,182458929212.0,4802.75,4736.24,4736.9,000925,基本面50,上证系列指数
4232.05,-0.02,24461611.0,84813187907.0,4242.52,4182.32,4229.35,000117,380成长,上证系列指数
225.06,-0.02,18618135.0,18775854309.0,225.13,225.02,225.12,000012,国债指数,上证系列指数
4410.31,-0.03,358783037.0,561932693893.0,4461.96,4403.35,4415.86,000060,全R价值,上证系列指数
5664.87,-0.05,8563689.0,19539111625.0,5698.33,5605.49,5659.89,000107,380可选,上证系列指数
