序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
141,399681,深成材料,1058.69,1.76,18.27,44451453.0,76697044304.73,1.56,1062.13,1045.85,1046.16,1040.42,1.02,399681,深成材料,深证系列指数
142,970059,深证民企科技,4969.07,1.75,85.34,35106776.0,163281323261.41,3.77,5017.97,4834.0,4890.64,4883.73,1.06,970059,深证民企科技,深证系列指数
143,470059,深证民企科技R,5423.17,1.75,93.25,35106776.0,163281323261.41,3.77,5476.55,5275.76,5337.58,5329.92,1.06,470059,深证民企科技R,深证系列指数
144,399383,1000工业,2674.08,1.74,45.74,146781334.0,264994225730.95,2.8,2701.05,2627.38,2633.28,2628.34,1.12,399383,1000工业,深证系列指数
145,970068,创业专利,5931.19,1.73,100.68,24654303.0,92488093669.18,3.96,6014.97,5784.17,5846.53,5830.51,1.03,970068,创业专利,深证系列指数
146,470068,创业专利R,6385.96,1.73,108.4,24654303.0,92488093669.18,3.96,6476.16,6227.67,6294.82,6277.56,1.03,470068,创业专利R,深证系列指数
147,970033,100ESG增强,1408.07,1.7,23.56,38375167.0,192336656576.9,3.3,1422.96,1377.25,1383.51,1384.51,1.24,970033,100ESG增强,深证系列指数
148,470033,100ESG增强R,1600.03,1.7,26.77,38375167.0,192336656576.9,3.3,1616.95,1565.02,1572.12,1573.26,1.24,470033,100ESG增强R,深证系列指数
149,399261,创业制造,5196.09,1.7,86.7,22932785.0,182865106391.29,4.63,5292.03,5055.27,5105.17,5109.39,1.03,399261,创业制造,深证系列指数
150,399295,创价值,5222.1,1.7,87.05,20323906.0,114277013348.06,3.34,5280.31,5108.85,5148.9,5135.05,0.87,399295,创价值,深证系列指数
151,470029,深指ESG领先R,18035.4,1.69,299.81,160412333.0,434058821020.61,2.93,18188.43,17668.83,17743.01,17735.59,1.0,470029,深指ESG领先R,深证系列指数
152,970029,深指ESG领先,13367.47,1.69,221.95,160412333.0,434058821020.61,2.93,13480.89,13095.78,13150.76,13145.52,1.0,970029,深指ESG领先,深证系列指数
153,399667,创业成长,4890.23,1.67,80.17,39853290.0,236782300057.1,4.1,4960.61,4763.24,4811.67,4810.06,1.03,399667,创业成长,深证系列指数
154,483022,深港通主要消费R（港币）,7343.87,1.64,118.74,29927116.0,50397988659.21,1.78,7368.76,7240.3,7240.67,7225.13,0.95,483022,深港通主要消费R（港币）,深证系列指数
155,399328,深证治理,9986.52,1.64,161.04,24613674.0,122892664033.06,3.52,10099.67,9754.14,9771.11,9825.48,1.14,399328,深证治理,深证系列指数
156,983016,深港通材料（港币）,5655.55,1.64,91.4,110543699.0,166034527968.55,1.74,5689.06,5592.1,5592.44,5564.15,0.99,983016,深港通材料（港币）,深证系列指数
157,483016,深港通材料R（港币）,6613.06,1.64,106.98,110543699.0,166034527968.55,1.74,6652.25,6538.87,6539.27,6506.08,0.99,483016,深港通材料R（港币）,深证系列指数
158,983022,深港通主要消费（港币）,6099.48,1.64,98.45,29927116.0,50397988659.21,1.78,6120.16,6013.46,6013.77,6001.03,0.95,983022,深港通主要消费（港币）,深证系列指数
159,399626,中创成长,1819.96,1.63,29.15,78339382.0,318701920786.06,3.59,1842.79,1778.46,1790.54,1790.81,0.95,399626,中创成长,深证系列指数
